Sport,PlayerRank,PlayerName,PlayerHomeTown,StarRating,PlayerPosition,PlayerStatus,TotalFollowersOnSocialMedia,On3NilValuation,RankingAvailable,AlternativePlayerlink
Football,22,Jared Verse,"Central ColumbiaBloomsburg, PA",NA,EDGE,,42K,$843K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/florida-state-seminoles/football/2019/industry-comparison-commits/""><img alt=""florida state seminoles Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/936/149/149936.svg"" title=""florida state seminoles"" width=""30""/></a>",NA
Football,23,J.J. McCarthy,"IMG AcademyLa Grange Park, IL",96.08,QB,JR,263K,$837K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/michigan-wolverines/football/2021/industry-comparison-commits/""><img alt=""michigan wolverines Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/39/150/150039.svg"" title=""michigan wolverines"" width=""30""/></a>",NA
Football,24,Laiatu Latu,"JesuitCarmichael, CA",93.63,EDGE,,4.9K,$826K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/ucla-bruins/football/2019/industry-comparison-commits/""><img alt=""ucla bruins Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/294/150/150294.svg"" title=""ucla bruins"" width=""30""/></a>",NA
Football,25,Cameron Rising,"Newbury ParkNewbury Park, CA",90.68,QB,NA,36K,$805K,NA,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineNone MuiTypography-h5 MuiTypography-colorPrimary"" href=""/db/cameron-rising-18045/nil/"">Cameron Rising</a>"
Football,26,Bralen Trice,"Sandra Day O'connorGlendale, AZ",88.40,EDGE,,3.3K,$775K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/washington-huskies/football/2019/industry-comparison-commits/""><img alt=""washington huskies Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/343/150/150343.svg"" title=""washington huskies"" width=""30""/></a>",NA
Football,27,Jackson Arnold,"GuyerDenton, TX",98.94,QB,FR,51K,$771K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/oklahoma-sooners/football/2023/industry-comparison-commits/""><img alt=""oklahoma sooners Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/127/150/150127.svg"" title=""oklahoma sooners"" width=""30""/></a>",NA
Football,28,J.T. Tuimoloau,"Eastside CatholicSammamish, WA",99.06,EDGE,JR,54K,$767K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/ohio-state-buckeyes/football/2021/industry-comparison-commits/""><img alt=""ohio state buckeyes Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/126/150/150126.svg"" title=""ohio state buckeyes"" width=""30""/></a>",NA
Football,29,TreVeyon Henderson,"HopewellHopewell, VA",97.50,RB,JR,127K,$759K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/ohio-state-buckeyes/football/2021/industry-comparison-commits/""><img alt=""ohio state buckeyes Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/126/150/150126.svg"" title=""ohio state buckeyes"" width=""30""/></a>",NA
Football,30,Kool-Aid McKinstry,"Pinson ValleyPinson, AL",97.83,CB,JR,162K,$741K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/alabama-crimson-tide/football/2021/industry-comparison-commits/""><img alt=""alabama crimson tide Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/728/149/149728.svg"" title=""alabama crimson tide"" width=""30""/></a>",NA
Football,31,Rome Odunze,"Bishop GormanLas Vegas, NV",91.96,WR,JR,11.5K,$735K,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/washington-huskies/football/2020/industry-comparison-commits/""><img alt=""washington huskies Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/343/150/150343.svg"" title=""washington huskies"" width=""30""/></a>",NA
